base_query,hash_name
AK-47 | Redline,AK-47 | Redline (Field-Tested)
M4A4 | The Emperor,StatTrak™ M4A4 | The Emperor (Field-Tested)
M4A4 | The Emperor,StatTrak™ M4A4 | The Emperor (Minimal Wear)
M4A4 | The Emperor,M4A4 | The Emperor (Factory New)
M4A4 | The Emperor,StatTrak™ M4A4 | The Emperor (Battle-Scarred)
M4A4 | The Emperor,StatTrak™ M4A4 | The Emperor (Well-Worn)
M4A4 | The Emperor,StatTrak™ M4A4 | The Emperor (Factory New)
M4A4 | Neo-Noir,M4A4 | Neo-Noir (Field-Tested)
M4A4 | Neo-Noir,M4A4 | Neo-Noir (Minimal Wear)
M4A4 | Neo-Noir,M4A4 | Neo-Noir (Battle-Scarred)
M4A4 | Neo-Noir,M4A4 | Neo-Noir (Well-Worn)
M4A4 | Neo-Noir,M4A4 | Neo-Noir (Factory New)
M4A4 | Neo-Noir,StatTrak™ M4A4 | Neo-Noir (Battle-Scarred)
M4A4 | Neo-Noir,StatTrak™ M4A4 | Neo-Noir (Field-Tested)
M4A4 | Neo-Noir,StatTrak™ M4A4 | Neo-Noir (Well-Worn)
M4A4 | Neo-Noir,StatTrak™ M4A4 | Neo-Noir (Minimal Wear)
M4A4 | Neo-Noir,StatTrak™ M4A4 | Neo-Noir (Factory New)
AUG | Syd Mead,AUG | Syd Mead (Field-Tested)
AUG | Syd Mead,AUG | Syd Mead (Minimal Wear)
AUG | Syd Mead,AUG | Syd Mead (Battle-Scarred)
AUG | Syd Mead,AUG | Syd Mead (Factory New)
AUG | Syd Mead,StatTrak™ AUG | Syd Mead (Field-Tested)
AUG | Syd Mead,AUG | Syd Mead (Well-Worn)
AUG | Syd Mead,StatTrak™ AUG | Syd Mead (Minimal Wear)
AUG | Syd Mead,StatTrak™ AUG | Syd Mead (Factory New)
AUG | Syd Mead,StatTrak™ AUG | Syd Mead (Battle-Scarred)
AUG | Syd Mead,StatTrak™ AUG | Syd Mead (Well-Worn)
FAMAS | Roll Cage,FAMAS | Roll Cage (Field-Tested)
FAMAS | Roll Cage,FAMAS | Roll Cage (Well-Worn)
FAMAS | Roll Cage,FAMAS | Roll Cage (Minimal Wear)
FAMAS | Roll Cage,FAMAS | Roll Cage (Battle-Scarred)
FAMAS | Roll Cage,StatTrak™ FAMAS | Roll Cage (Battle-Scarred)
FAMAS | Roll Cage,StatTrak™ FAMAS | Roll Cage (Field-Tested)
FAMAS | Roll Cage,StatTrak™ FAMAS | Roll Cage (Minimal Wear)
FAMAS | Roll Cage,FAMAS | Roll Cage (Factory New)
FAMAS | Roll Cage,StatTrak™ FAMAS | Roll Cage (Well-Worn)
FAMAS | Roll Cage,StatTrak™ FAMAS | Roll Cage (Factory New)
AWP | Asiimov,AWP | Asiimov (Battle-Scarred)
AWP | Asiimov,AWP | Asiimov (Field-Tested)
AWP | Asiimov,AWP | Asiimov (Well-Worn)
AWP | Asiimov,StatTrak™ AWP | Asiimov (Field-Tested)
AWP | Asiimov,StatTrak™ AWP | Asiimov (Battle-Scarred)
AWP | Asiimov,StatTrak™ AWP | Asiimov (Well-Worn)
AWP | Hyper Beast,AWP | Hyper Beast (Field-Tested)
AWP | Hyper Beast,AWP | Hyper Beast (Well-Worn)
AWP | Hyper Beast,AWP | Hyper Beast (Minimal Wear)
AWP | Hyper Beast,AWP | Hyper Beast (Battle-Scarred)
AWP | Hyper Beast,AWP | Hyper Beast (Factory New)
AWP | Hyper Beast,StatTrak™ AWP | Hyper Beast (Field-Tested)
AWP | Hyper Beast,StatTrak™ AWP | Hyper Beast (Well-Worn)
AWP | Hyper Beast,StatTrak™ AWP | Hyper Beast (Minimal Wear)
AWP | Hyper Beast,StatTrak™ AWP | Hyper Beast (Battle-Scarred)
AWP | Hyper Beast,StatTrak™ AWP | Hyper Beast (Factory New)
AWP | Redline,AWP | Redline (Field-Tested)
AWP | Redline,AWP | Redline (Minimal Wear)
AWP | Redline,StatTrak™ AWP | Redline (Field-Tested)
AWP | Redline,AWP | Redline (Well-Worn)
AWP | Redline,StatTrak™ AWP | Redline (Minimal Wear)
AWP | Redline,StatTrak™ AWP | Redline (Well-Worn)
SSG 08 | Dragonfire,SSG 08 | Dragonfire (Factory New)
SSG 08 | Dragonfire,SSG 08 | Dragonfire (Minimal Wear)
SSG 08 | Dragonfire,SSG 08 | Dragonfire (Field-Tested)
SSG 08 | Dragonfire,SSG 08 | Dragonfire (Battle-Scarred)
SSG 08 | Dragonfire,StatTrak™ SSG 08 | Dragonfire (Minimal Wear)
SSG 08 | Dragonfire,SSG 08 | Dragonfire (Well-Worn)
SSG 08 | Dragonfire,StatTrak™ SSG 08 | Dragonfire (Factory New)
SSG 08 | Dragonfire,StatTrak™ SSG 08 | Dragonfire (Field-Tested)
SSG 08 | Dragonfire,StatTrak™ SSG 08 | Dragonfire (Battle-Scarred)
SSG 08 | Dragonfire,StatTrak™ SSG 08 | Dragonfire (Well-Worn)
Desert Eagle | Printstream,Desert Eagle | Printstream (Field-Tested)
Desert Eagle | Printstream,Desert Eagle | Printstream (Minimal Wear)
Desert Eagle | Printstream,Desert Eagle | Printstream (Battle-Scarred)
Desert Eagle | Printstream,Desert Eagle | Printstream (Factory New)
Desert Eagle | Printstream,Desert Eagle | Printstream (Well-Worn)
Desert Eagle | Printstream,StatTrak™ Desert Eagle | Printstream (Field-Tested)
Desert Eagle | Printstream,StatTrak™ Desert Eagle | Printstream (Minimal Wear)
Desert Eagle | Printstream,StatTrak™ Desert Eagle | Printstream (Battle-Scarred)
Desert Eagle | Printstream,StatTrak™ Desert Eagle | Printstream (Factory New)
Desert Eagle | Printstream,StatTrak™ Desert Eagle | Printstream (Well-Worn)
Desert Eagle | Code Red,Desert Eagle | Code Red (Field-Tested)
Desert Eagle | Code Red,Desert Eagle | Code Red (Minimal Wear)
Desert Eagle | Code Red,Desert Eagle | Code Red (Well-Worn)
Desert Eagle | Code Red,Desert Eagle | Code Red (Battle-Scarred)
Desert Eagle | Code Red,StatTrak™ Desert Eagle | Code Red (Minimal Wear)
Desert Eagle | Code Red,StatTrak™ Desert Eagle | Code Red (Field-Tested)
Desert Eagle | Code Red,StatTrak™ Desert Eagle | Code Red (Factory New)
Desert Eagle | Code Red,StatTrak™ Desert Eagle | Code Red (Battle-Scarred)
Desert Eagle | Code Red,StatTrak™ Desert Eagle | Code Red (Well-Worn)
Desert Eagle | Code Red,Desert Eagle | Code Red (Factory New)
Glock-18 | Water Elemental,Glock-18 | Water Elemental (Field-Tested)
Glock-18 | Water Elemental,Glock-18 | Water Elemental (Minimal Wear)
Glock-18 | Water Elemental,Glock-18 | Water Elemental (Factory New)
Glock-18 | Water Elemental,Glock-18 | Water Elemental (Battle-Scarred)
Glock-18 | Water Elemental,StatTrak™ Glock-18 | Water Elemental (Minimal Wear)
Glock-18 | Water Elemental,StatTrak™ Glock-18 | Water Elemental (Field-Tested)
Glock-18 | Water Elemental,Glock-18 | Water Elemental (Well-Worn)
Glock-18 | Water Elemental,StatTrak™ Glock-18 | Water Elemental (Battle-Scarred)
Glock-18 | Water Elemental,StatTrak™ Glock-18 | Water Elemental (Factory New)
Glock-18 | Water Elemental,StatTrak™ Glock-18 | Water Elemental (Well-Worn)
USP-S | Kill Confirmed,USP-S | Kill Confirmed (Field-Tested)
USP-S | Kill Confirmed,USP-S | Kill Confirmed (Minimal Wear)
USP-S | Kill Confirmed,USP-S | Kill Confirmed (Battle-Scarred)
USP-S | Kill Confirmed,USP-S | Kill Confirmed (Well-Worn)
USP-S | Kill Confirmed,StatTrak™ USP-S | Kill Confirmed (Minimal Wear)
USP-S | Kill Confirmed,StatTrak™ USP-S | Kill Confirmed (Field-Tested)
USP-S | Kill Confirmed,USP-S | Kill Confirmed (Factory New)
USP-S | Kill Confirmed,StatTrak™ USP-S | Kill Confirmed (Battle-Scarred)
USP-S | Kill Confirmed,StatTrak™ USP-S | Kill Confirmed (Well-Worn)
USP-S | Kill Confirmed,StatTrak™ USP-S | Kill Confirmed (Factory New)
P250 | Asiimov,P250 | Asiimov (Battle-Scarred)
P250 | Asiimov,P250 | Asiimov (Field-Tested)
P250 | Asiimov,P90 | Asiimov (Field-Tested)
P250 | Asiimov,P250 | Asiimov (Well-Worn)
P250 | Asiimov,P90 | Asiimov (Minimal Wear)
P250 | Asiimov,P90 | Asiimov (Well-Worn)
P250 | Asiimov,StatTrak™ P250 | Asiimov (Battle-Scarred)
P250 | Asiimov,P90 | Asiimov (Battle-Scarred)
P250 | Asiimov,StatTrak™ P250 | Asiimov (Field-Tested)
P250 | Asiimov,StatTrak™ P90 | Asiimov (Field-Tested)
Five-SeveN | Monkey Business,Five-SeveN | Monkey Business (Field-Tested)
Five-SeveN | Monkey Business,Five-SeveN | Monkey Business (Well-Worn)
Five-SeveN | Monkey Business,Five-SeveN | Monkey Business (Battle-Scarred)
Five-SeveN | Monkey Business,StatTrak™ Five-SeveN | Monkey Business (Field-Tested)
Five-SeveN | Monkey Business,StatTrak™ Five-SeveN | Monkey Business (Well-Worn)
Five-SeveN | Monkey Business,StatTrak™ Five-SeveN | Monkey Business (Battle-Scarred)
Five-SeveN | Monkey Business,Five-SeveN | Monkey Business (Minimal Wear)
Five-SeveN | Monkey Business,StatTrak™ Five-SeveN | Monkey Business (Minimal Wear)
MAC-10 | Neon Rider,MAC-10 | Neon Rider (Factory New)
MAC-10 | Neon Rider,MAC-10 | Neon Rider (Minimal Wear)
MAC-10 | Neon Rider,MAC-10 | Neon Rider (Field-Tested)
MAC-10 | Neon Rider,StatTrak™ MAC-10 | Neon Rider (Factory New)
MAC-10 | Neon Rider,StatTrak™ MAC-10 | Neon Rider (Field-Tested)
MAC-10 | Neon Rider,MAC-10 | Neon Rider (Well-Worn)
MAC-10 | Neon Rider,StatTrak™ MAC-10 | Neon Rider (Well-Worn)
MAC-10 | Neon Rider,StatTrak™ MAC-10 | Neon Rider (Minimal Wear)
UMP-45 | Primal Saber,UMP-45 | Primal Saber (Field-Tested)
UMP-45 | Primal Saber,UMP-45 | Primal Saber (Minimal Wear)
UMP-45 | Primal Saber,UMP-45 | Primal Saber (Battle-Scarred)
UMP-45 | Primal Saber,StatTrak™ UMP-45 | Primal Saber (Field-Tested)
UMP-45 | Primal Saber,UMP-45 | Primal Saber (Factory New)
UMP-45 | Primal Saber,UMP-45 | Primal Saber (Well-Worn)
UMP-45 | Primal Saber,StatTrak™ UMP-45 | Primal Saber (Battle-Scarred)
UMP-45 | Primal Saber,StatTrak™ UMP-45 | Primal Saber (Minimal Wear)
UMP-45 | Primal Saber,StatTrak™ UMP-45 | Primal Saber (Well-Worn)
UMP-45 | Primal Saber,StatTrak™ UMP-45 | Primal Saber (Factory New)
